state,state_po,DEMOCRAT,REPUBLICAN,margin,dominant_party,category
ALABAMA,AL,37.5,62.5,25,REPUBLICAN,Strongly Republican
ALASKA,AK,0,100,100,REPUBLICAN,Strongly Republican
ARIZONA,AZ,16.666666666666664,83.33333333333334,66.66666666666669,REPUBLICAN,Strongly Republican
ARKANSAS,AR,50,50,0,TOSS UP,Competitive State
CALIFORNIA,CA,87.5,12.5,75,DEMOCRAT,Strongly Democrat
COLORADO,CO,29.166666666666668,70.83333333333334,41.66666666666667,REPUBLICAN,Strongly Republican
CONNECTICUT,CT,79.16666666666666,20.833333333333336,58.33333333333332,DEMOCRAT,Strongly Democrat
DELAWARE,DE,50,50,0,TOSS UP,Competitive State
DISTRICT OF COLUMBIA,DC,100,0,100,DEMOCRAT,Strongly Democrat
FLORIDA,FL,33.33333333333333,66.66666666666666,33.33333333333333,REPUBLICAN,Strongly Republican
GEORGIA,GA,41.66666666666667,58.333333333333336,16.666666666666664,REPUBLICAN,Mildly Republican
HAWAII,HI,100,0,100,DEMOCRAT,Strongly Democrat
IDAHO,ID,4.166666666666666,95.83333333333334,91.66666666666667,REPUBLICAN,Strongly Republican
ILLINOIS,IL,83.33333333333334,16.666666666666664,66.66666666666669,DEMOCRAT,Strongly Democrat
INDIANA,IN,29.166666666666668,70.83333333333334,41.66666666666667,REPUBLICAN,Strongly Republican
IOWA,IA,29.166666666666668,70.83333333333334,41.66666666666667,REPUBLICAN,Strongly Republican
KANSAS,KS,4.166666666666666,95.83333333333334,91.66666666666667,REPUBLICAN,Strongly Republican
KENTUCKY,KY,29.166666666666668,70.83333333333334,41.66666666666667,REPUBLICAN,Strongly Republican
LOUISIANA,LA,41.66666666666667,58.333333333333336,16.666666666666664,REPUBLICAN,Mildly Republican
MAINE,ME,70.83333333333334,29.166666666666668,41.66666666666667,DEMOCRAT,Strongly Democrat
MARYLAND,MD,95.83333333333334,4.166666666666666,91.66666666666667,DEMOCRAT,Strongly Democrat
MASSACHUSETTS,MA,100,0,100,DEMOCRAT,Strongly Democrat
MICHIGAN,MI,83.33333333333334,16.666666666666664,66.66666666666669,DEMOCRAT,Strongly Democrat
MINNESOTA,MN,26.08695652173913,73.91304347826086,47.826086956521735,REPUBLICAN,Strongly Republican
MISSISSIPPI,MS,54.166666666666664,45.83333333333333,8.333333333333336,DEMOCRAT,Competitive State
MISSOURI,MO,58.333333333333336,41.66666666666667,16.666666666666664,DEMOCRAT,Mildly Democrat
MONTANA,MT,37.5,62.5,25,REPUBLICAN,Strongly Republican
NEBRASKA,NE,0,100,100,REPUBLICAN,Strongly Republican
NEVADA,NV,41.66666666666667,58.333333333333336,16.666666666666664,REPUBLICAN,Mildly Republican
NEW HAMPSHIRE,NH,41.66666666666667,58.333333333333336,16.666666666666664,REPUBLICAN,Mildly Republican
NEW JERSEY,NJ,70.83333333333334,29.166666666666668,41.66666666666667,DEMOCRAT,Strongly Democrat
NEW MEXICO,NM,62.5,37.5,25,DEMOCRAT,Strongly Democrat
NEW YORK,NY,100,0,100,DEMOCRAT,Strongly Democrat
NORTH CAROLINA,NC,54.166666666666664,45.83333333333333,8.333333333333336,DEMOCRAT,Competitive State
NORTH DAKOTA,ND,62.5,37.5,25,DEMOCRAT,Strongly Democrat
OHIO,OH,20.833333333333336,79.16666666666666,58.33333333333332,REPUBLICAN,Strongly Republican
OKLAHOMA,OK,37.5,62.5,25,REPUBLICAN,Strongly Republican
OREGON,OR,100,0,100,DEMOCRAT,Strongly Democrat
PENNSYLVANIA,PA,50,50,0,TOSS UP,Competitive State
RHODE ISLAND,RI,91.66666666666666,8.333333333333332,83.33333333333333,DEMOCRAT,Strongly Democrat
SOUTH CAROLINA,SC,33.33333333333333,66.66666666666666,33.33333333333333,REPUBLICAN,Strongly Republican
SOUTH DAKOTA,SD,45.83333333333333,54.166666666666664,8.333333333333336,REPUBLICAN,Competitive State
TENNESSEE,TN,45.83333333333333,54.166666666666664,8.333333333333336,REPUBLICAN,Competitive State
TEXAS,TX,37.5,62.5,25,REPUBLICAN,Strongly Republican
UTAH,UT,8.333333333333332,91.66666666666666,83.33333333333333,REPUBLICAN,Strongly Republican
VERMONT,VT,37.5,62.5,25,REPUBLICAN,Strongly Republican
VIRGINIA,VA,33.33333333333333,66.66666666666666,33.33333333333333,REPUBLICAN,Strongly Republican
WASHINGTON,WA,95.83333333333334,4.166666666666666,91.66666666666667,DEMOCRAT,Strongly Democrat
WEST VIRGINIA,WV,70.83333333333334,29.166666666666668,41.66666666666667,DEMOCRAT,Strongly Democrat
WISCONSIN,WI,45.83333333333333,54.166666666666664,8.333333333333336,REPUBLICAN,Competitive State
WYOMING,WY,4.166666666666666,95.83333333333334,91.66666666666667,REPUBLICAN,Strongly Republican
