"rank","player","years","australian_open","french_open","us_open","wimbledon","titles","region"
1,"Margaret Court","1960–1973",11,5,5,3,24,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/AU.svg"
2,"Serena Williams","1999–2017",7,3,6,7,23,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
3,"Steffi Graf","1987–1999",4,6,5,7,22,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/DE.svg"
4,"Helen Wills Moody","1923–1938",0,4,7,8,19,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
5,"Chris Evert","1974–1986",2,7,6,3,18,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
5,"Martina Navratilova","1978–1990",3,2,4,9,18,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
6,"Billie Jean King","1966–1975",1,1,4,6,12,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
7,"Maureen Connolly","1951–1954",1,2,3,3,9,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
7,"Monica Seles","1990–1996",4,3,2,0,9,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
8,"Molla Bjurstedt Mallory","1915–1922",0,0,8,0,8,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/FR.svg"
8,"Suzanne Lenglen","1919–1926",0,2,0,6,8,"https://raw.githubusercontent.com/catamphetamine/country-flag-icons/master/flags/1x1/US.svg"
